ID,lat,lon,elevation
USS0022G06S,42.87,-122.17,6010
USS0033J01S,58.19,-133.83,850
USS0051K14S,59.74,-151.25,1320
USS0005M17S,37.61,-105.37,10650
USS0016J01S,40.36,-116.86,7400
USS0010C22S,46.91,-110.85,7410
USS0010C23S,46.93,-110.9,6550
USS0020G12S,42.64,-120.95,6180
USS0021A36S,48.82,-121.93,4970
USS0022C13S,46.16,-122.18,4440
USS0011H58S,41.79,-111.55,7406
USS0006K12S,39.8,-106.03,8940
USS0007H06S,41.4,-107.26,7850
USS0016E18S,44.79,-116.09,4890
USS0006N16S,36.03,-106.81,9306
USS0006J08S,40.35,-106.38,10960
USS0006J27S,40.4,-105.96,10280
USS0006J20S,40.71,-106.01,9020
USS0006J19S,40.79,-106.6,9340
USS0005R01S,33.4,-105.79,10280
USS0048M04S,61.38,-149,2100
USS0011J70S,40.28,-111.61,7774
USS0006K44S,39.6,-106.54,9480
USS0006K45S,39.6,-106.51,8500
USS0005J05S,40.2,-105.6,9560
USS0018A21S,48.86,-118.4,4680
USS0022F45S,43.23,-122.43,3240
USS0005H02S,41.23,-105.38,8330
USS0006H24S,41.24,-106.23,9574
USS0006H25S,41.07,-106.94,8915
USS0007S03S,33.01,-107.87,9240
USS0019L43S,38.68,-119.96,8017
USS0019L44S,38.84,-119.89,8557
USS0019L41S,38.72,-119.89,8129
USS0019L42S,38.4,-119.54,9313
USS0016A14S,48.72,-116.46,3520
USS0011J11S,40.99,-111.82,6779
USS0045M07S,61.19,-145.65,1750
USS0011H59S,41.36,-111.49,8215
USS0005L11S,38.88,-105.07,11460
USS0006M21S,37.47,-106.54,11620
USS0006L06S,38.16,-106.6,10020
USS0008M04S,37.5,-108.11,10720
USS0007J03S,40.06,-107.01,9080
USS0051K05S,59.86,-151.32,1653
USS0013M06S,37.5,-113.94,6763
USS0013M07S,37.4,-113.46,8322
USS0021B31S,47.16,-121.42,4640
USS0021B50S,47.2,-121.78,3900
USS0049M22S,61.11,-149.67,2080
USS0045L01S,60.55,-145.75,1405
USS0021G16S,42.41,-121.68,6830
USS0021G17S,42.79,-121.98,5400
USS0017D20S,45.98,-117.95,5580
USS0021A28S,48.93,-121.2,5830
USS0017B06S,47.86,-117.04,4210
USS0010F30S,43.78,-110.93,9260
USS0005N04S,36.13,-105.53,8600
USS0023D03S,45.25,-123.28,420
USS0021C41S,46.87,-121.53,5240
USS0050N05S,62.63,-150.78,850
USS0049M26S,61.79,-149.28,3550
USS0049L18S,60.19,-149.62,400
USS0042N01S,62.07,-142.05,3320
USS0042M01S,61.35,-142.71,1610
USS0010K06S,39.68,-110.43,8736
USS0011H60S,41.86,-111.51,8270
USS0012L20S,38.07,-112.17,9749
USS0006L05S,38.7,-106.37,10540
USS0006K46S,39.26,-106.63,10110
USS0005L12S,38.29,-105.85,10720
USS0049L01S,60.96,-149.09,1540
USS0021C42S,46.1,-121.96,2140
USS0010D39S,45.5,-110.08,6335
USS0010C27S,46.48,-110.71,7600
USS0023B18S,47.71,-123.46,4870
USS0022D01S,45.9,-122.22,2500
USS0015N11S,36.25,-115.63,7860
USS0015N09S,36.32,-115.7,8890
USS0015N10S,36.31,-115.68,8626
USS0011H03S,41.89,-111.57,6332
USS0011H07S,41.92,-111.47,7705
USS0011H01S,41.97,-111.6,7250
USS0010J12S,40.55,-110.35,8464
USS0010J55S,40.84,-110.01,10235
USS0011H32S,41.22,-111.36,6082
USS0006H26S,41.06,-106.71,9820
USS0006K29S,39.86,-106.42,10520
USS0011P02S,35.27,-111.74,7350
USS0005J11S,40.58,-105.63,9380
USS0005J27S,40.51,-105.77,9980
USS0006M26S,37.97,-106.56,11140
USS0011R12S,34.97,-111.51,8500
USS0009S04S,33.9,-109.16,8500
USS0006L13S,38.29,-106.37,11530
USS0020D02S,45.99,-120.81,5360
USS0009F20S,43.67,-109.38,8400
USS0007E40S,44.54,-107.18,8870
USS0007E05S,44.35,-107.01,8720
USS0009G11S,42.71,-109.41,9360
USS0009G06S,42.58,-109.09,9000
USS0010J06S,40.98,-110.85,8000
USS0016H07S,41.32,-116.34,7700
USS0015K04S,39.45,-115.98,7890
USS0008N03S,36.18,-108.95,9050
USS0012P01S,35.26,-112.06,7100
USS0006L14S,38.99,-106.75,10640
USS0015C05S,46.49,-115.8,3080
USS0009N05S,36.33,-109.06,9200
USS0014B04S,47.98,-114.35,5650
USS0011H31S,41.25,-111.41,7220
USS0012K02S,39.35,-112.33,7850
USS0014L04S,39.01,-114.31,10060
USS0012M07S,37.7,-112.65,8350
USS0011L03S,38.5,-111.77,8798
USS0014K10S,39.56,-114.63,7775
USS0013H05S,41.92,-113.41,8964
USS0014K08S,39.16,-114.61,10578
USS0009M01S,37.87,-109.45,8924
USS0012M14S,37.68,-112.86,10039
USS0014K01S,39.46,-114.65,7537
USS0012L05S,38.5,-112.01,9228
USS0022G26S,42.22,-122.37,4580
USS0018A26S,48.95,-118.99,5360
USS0007M36S,37.52,-107.32,10740
USS0005J28S,40.89,-105.66,8920
USS0010J22S,40.96,-110.58,8869
USS0010J21S,40.88,-110.54,9360
USS0022E10S,44.33,-122.09,4720
USS0022E11S,44.3,-122.04,3270
USS0005N14S,36.58,-105.46,11057
USS0005N23S,36.79,-105.24,10100
USS0005N13S,36.41,-105.33,9350
USS0020A46S,48.07,-120.85,2930
USS0006N15S,36.86,-106.23,9100
USS0047P03S,64.85,-147.8,450
USS0062S01S,67.93,-162.28,310
USS0051R01S,66.92,-151.53,640
USS0011L02S,38.79,-111.69,8396
USS0008M12S,37.79,-108.18,11580
USS0005K30S,39.87,-105.87,11150
USS0005J46S,40.04,-105.75,10620
USS0007M37S,37.88,-107.36,11100
USS0041P07S,64.79,-141.23,1050
USS0010J23S,40.84,-110.66,9632
USS0018H02S,41.49,-119,7615
USS0017J02S,40.88,-117.59,6616
USS0006H27S,41.38,-106.35,10500
USS0012M11S,37.75,-112.78,8692
USS0011R13S,34.86,-111.61,6393
USS0012J02S,40.46,-112.25,6520
USS0009L01S,38.48,-109.29,8783
USS0011K05S,39.61,-111.3,9652
USS0011K36S,39.5,-111.73,7206
USS0011K11S,39.32,-111.49,8801
USC00423386,39.3,-111.45,9858
USS0011K10S,39.3,-111.45,9858
USS0011J22S,40.19,-111.36,7377
USS0011K12S,39.14,-111.51,9524
USS0011J06S,40.67,-111.22,8532
USS0011K35S,39.24,-111.52,8787
USS0011K29S,39.42,-111.25,8596
USS0011K32S,39.13,-111.35,9327
USS0020D01S,45.99,-120.68,3960
USS0010k05s,39.66,-110.38,8207
USS0019k03S,39.25,-119.88,6493
USS0015j03S,40.86,-115.22,6555
USS0015j20S,40.86,-115.12,7760
USSNRCS0124,39.74,-113.98,9122
USS0012M17S,37.6,-112.92,8050
USS0011M01S,38.05,-111.34,10018
USS0005J45S,40.14,-105.59,9620
USS0005N24S,36.07,-105.63,10664
USS0018A19S,48.19,-118.46,4390
USS0021C43S,46.64,-121.83,3770
USS0020H01S,41.99,-120.72,5680
USS0019A09S,48.59,-119.87,4470
USS0010M01S,38.08,-110.77,9410
USS0015h07S,41.58,-115.93,6798
USS0021C44S,46.32,-121.94,4440
USS0053L01S,60.98,-153.92,1275
USS0050M01S,61.75,-150.89,160
USS0045O01S,63.2,-145.63,3000
USS0016F08S,43.29,-116.85,5600
USS0020H13S,41.24,-120.79,6190
USS0017D02S,45.21,-117.19,7400
USS0005M07S,37.33,-105.07,10000
USS0019D02S,45.19,-119.25,5770
USS0015F04S,43.76,-115.24,7580
USS0013A15S,48.13,-113.02,6900
USS0011R06S,34.46,-111.41,7300
USS0007E21S,44.8,-107.84,9380
USS0009S01S,33.98,-109.5,9125
USS0015A08S,48.57,-115.45,5600
USS0015E11S,44.3,-115.23,7040
USS0013C44S,46.1,-113.13,8250
USS0010F02S,43.95,-110.45,7060
USS0012D09S,45.8,-112.52,7180
USS0006N04S,36.51,-106.32,9300
USS0007H04S,41.05,-107.27,7440
USS0012E08S,44.47,-112.98,8850
USS0016E11S,44.95,-116.14,5350
USS0013F03S,43.74,-113.94,7900
USS0015H01S,41.83,-115.45,8040
USS0005J39S,40.31,-105.64,9500
USS0016A08S,48.31,-116.07,5400
USS0016E10S,44.61,-116.98,6180
USS0007F01S,43.89,-107.06,8200
USS0009E10S,44.94,-109.57,9360
USS0007M32S,37.71,-107.51,11600
USS0011E38S,44.95,-111.36,7850
USS0011K13S,39.14,-111.56,7990
USS0011J46S,40.61,-111.1,8280
USS0018D09S,45.15,-118.22,5150
USS0011H08S,41.38,-111.94,7689
USS0011H30S,41.38,-111.92,5972
USS0014K02S,39.32,-114.62,9377
USS0005K14S,39.8,-105.78,11300
USS0015H04S,41.76,-115.69,6898
USS0017K04S,39.29,-117.11,8685
USS0015E02S,44.63,-115.79,6560
USS0012L07S,38.3,-112.36,10349
USS0019K08S,39.46,-119.94,8235
USS0022G21S,42.05,-122.85,6050
USS0009G09S,42.65,-109.26,9080
USS0023G15S,42.08,-123.34,5130
USS0022G13S,42.41,-122.27,5280
USS0007K12S,39.76,-107.36,10880
USS0013B25S,47.68,-114,4920
USS0011E35S,44.51,-111.13,8170
USS0011L04S,38.68,-111.6,9414
USS0013C13S,46.41,-113.43,7210
USS0009E13S,44.38,-109.79,9780
USS0021D33S,45.43,-121.86,3650
USS0020B02S,47.35,-120.68,4240
USS0010G02S,42.96,-110.61,8650
USS0003E03S,44.11,-103.98,6890
USS0013D10S,45.17,-113.5,7600
USS0019L05S,38.61,-119.92,8067
USS0018E16S,44.25,-118.52,5870
USS0007E18S,44.68,-107.58,9350
USS0014G01S,42.16,-114.19,7500
USS0011C01S,46.56,-111.29,7950
USS0018E05S,44.83,-118.19,5850
USS0018D20S,45.36,-118.47,4530
USS0010D31S,45.27,-110.25,6670
USS0012L04S,38.51,-112.02,9853
USS0010D35S,45.89,-110.94,7320
USS0011J57S,40.6,-111.58,8766
USS0006H13S,41.36,-106.23,10240
USS0010J30S,40.58,-110.59,10574
USS0006K40S,39.09,-106.54,10600
USS0016D09S,45.04,-116.13,6250
USS0011K31S,39.13,-111.44,9409
USS0017H02S,41.75,-117.53,6930
USS0011H37S,41.68,-111.42,7987
USS0021C38S,46.81,-121.33,4610
USS0017A01S,48.69,-117.18,5000
USS0007E33S,44.79,-107.53,7880
USS0007K02S,39.88,-107.6,9400
USS0009F04S,43.7,-109.67,8750
USS0006L11S,38.89,-106.95,10160
USS0013D26S,45.88,-113.33,6430
USS0015F09S,43.27,-115.35,5710
USS0009M02S,37.81,-109.49,8858
USS0010E03S,44.72,-110.51,7870
USS0011E29S,44.96,-111.29,9000
USS0007M05S,37.65,-107.81,8880
USS0007M35S,37.66,-107.8,8920
USS0022F03S,43.59,-122.06,5100
USS0006G01S,42.73,-106.32,7900
USS0012M13S,37.66,-112.74,9607
USS0020H06S,41.58,-120.3,7030
USS0011J01S,40.85,-111.05,9171
USS0011J02S,40.89,-111.07,8208
USS0006N03S,36.96,-106.66,8400
USS0021F22S,43.23,-121.81,4850
USS0010J43S,40.77,-110.01,10499
USS0021D13S,45.1,-121.75,3400
USS0011K21S,39.87,-111.28,8975
USS0011K22S,39.89,-111.25,7837
USS0021D12S,45.19,-121.69,3810
USS0007E36S,44.4,-107.06,9860
USS0011D08S,45.02,-111.85,8600
USS0009F25S,43.28,-109.45,9630
USS0022G24S,42.53,-122.18,5940
USS0009D16S,45.19,-109.35,7850
USS0006J03S,40.39,-106.6,9160
USS0008L02S,38.42,-108.38,9400
USS0013C33S,46.47,-113.39,5600
USS0015C16S,46.76,-115.3,6280
USS0005J18S,40.21,-105.57,8600
USS0012B16S,47.06,-112.6,5200
USS0012B14S,47.08,-112.73,6950
USS0006K24S,39.49,-106.17,10550
USS0009S07S,33.8,-109.15,8400
USS0021B13S,47.02,-121.46,5800
USS0010G25S,42.65,-110.81,7670
USS0021B42S,47.28,-121.67,3200
USS0018D08S,45.19,-118.55,4830
USS0015E08S,44.29,-115.66,5400
USS0011E37S,44.44,-111.99,6900
USS0015C09S,46.56,-115.29,5960
USS0007J04S,40.17,-107.06,9100
USS0009C01S,46.79,-109.51,6050
USS0020K31S,39.33,-120.37,6894
USS0005M03S,37.21,-105.2,10500
USS0006M22S,37.02,-106.45,10040
USS0011J32S,40.36,-111.09,7915
USS0013C39S,46.18,-113.85,5780
USS0022E08S,44.52,-122.09,3690
USS0011J23S,40.3,-111.26,8008
USS0013D19S,45.17,-113.58,8945
USS0010C09S,46.79,-110.68,6450
USS0005J06S,40.81,-105.77,10220
USS0015E04S,44.54,-115.56,6860
USS0019E03S,44.45,-119.93,5850
USS0022F18S,43.19,-122.14,5280
USS0015K03S,39.56,-115.84,8017
USS0011K15S,39.05,-111.47,9228
USS0018H01S,41.97,-118.19,6260
USS0020H12S,41.99,-120.18,7360
USS0012E07S,44.79,-112.06,7800
USS0007H05S,41.3,-107.15,8880
USS0014F08S,43.6,-114.67,8420
USS0007E34S,44.57,-107.3,8880
USS0011L05S,38.21,-111.48,9799
USS0015H24S,41.66,-115.32,7285
USS0011H55S,41.41,-111.54,8302
USS0006J01S,40.53,-106.78,8400
USS0012A02S,48.06,-112.76,5750
USS0010F17S,43.13,-110.2,7930
USS0009K01S,39.31,-109.53,8302
USS0019L19S,38.55,-119.8,8661
USS0020L06S,38.85,-120.08,7653
USS0018E03S,44.87,-118.11,5510
USS0008M06S,37.79,-108.02,10000
USS0016C20S,46.84,-116.12,5690
USS0006J15S,40.85,-106.97,8700
USS0009F23S,43.01,-109.76,9400
USS0013A24S,48.43,-113.94,4350
USS0018D04S,45.56,-118.45,3800
USS0011G06S,42.36,-111.56,7390
USS0009E11S,44.65,-109.78,9200
USS0020L10S,38.93,-120.05,6242
USS0011J12S,40.97,-111.81,7902
USS0011L01S,38.77,-111.68,9623
USS0016H08S,41.82,-116.1,7031
USS0018G02S,42.71,-118.63,7660
USS0021B04S,47.54,-121.09,3430
USS0022G14S,42.38,-122.35,4660
USS0009D06S,45.06,-109.94,9100
USS0010J26S,40.72,-110.47,10943
USS0013A19S,48.8,-113.86,6300
USS0022G12S,42.44,-122.23,5970
USS0011G32S,42.05,-111.6,8140
USS0006K08S,39.38,-106.2,11400
USS0008S01S,33.74,-108.95,8000
USS0012C13S,46.44,-112.19,6480
USS0011P13S,35.07,-111.84,7200
USS0014F17S,43.88,-114.67,7470
USS0014F12S,43.87,-114.71,8780
USS0005N18S,36.19,-105.56,9800
USS0013F04S,43.61,-113.93,6560
USS0011G33S,42.41,-111.17,6930
USS0018E08S,44.76,-118.31,5410
USS0011L12S,38.8,-111.68,7944
USS0015F14S,43.95,-115.27,5690
USS0010F29S,43.34,-110.43,6770
USS0017H08S,41.67,-117.57,8503
USS0010E15S,44.13,-110.83,7265
USS0014A11S,48.91,-114.77,4300
USS0007F06S,43.47,-107.24,8550
USS0021C10S,46.55,-121.17,5920
USS0015J09S,40.38,-115.53,8185
USS0021D01S,45.62,-121.7,3310
USS0005K09S,39.65,-105.87,11100
USS0010F19S,43.39,-110.13,8750
USS0020B11S,47.28,-120.49,5390
USS0019L03S,38.85,-119.94,7742
USS0010G24S,42.15,-110.68,7840
USS0014A14S,48.31,-114.84,5035
USS0009S11S,33.65,-109.31,9020
USS0006E03S,44.26,-106.98,8360
USS0010J25S,40.74,-110.62,10885
USS0012M05S,37.49,-112.58,7792
USS0020A05S,48.72,-120.66,6490
USS0015A03S,48.97,-115.95,6450
USS0010J44S,40.8,-110.88,9130
USS0019L24S,38.92,-119.92,8534
USS0010R04S,34.31,-110.75,7640
USS0015C06S,46.48,-115.63,5810
USS0010J04S,40.95,-110.48,9500
USS0009J08S,40.91,-109.96,9122
USS0018D19S,45.7,-118.11,4920
USS0013E27S,44.02,-113.47,8000
USS0009G03S,42.87,-109.09,10100
USS0021E06S,44.42,-121.86,4790
USS0015J15S,40.94,-115.1,8163
USS0010J01S,40.92,-110.19,9168
USS0022F42S,43.67,-122.57,4930
USS0015C10S,46.98,-115.03,6050
USS0006K01S,39.36,-106.06,11400
USS0006N14S,36.72,-106.26,10000
USS0011H21S,41.31,-111.45,8199
USS0013G01S,42.32,-113.62,7980
USS0015B21S,47.53,-115.78,4250
